Song,Year,Animal,Wail,Chuck,Snort,Bout
10.4.03,2003,T6,22,24,0,23
10.4.03.2,2003,T6,15,40,0,15
14.4.04,2004,T6,32,36,0,32
240504_0025,unknown,unknown,25,122,13,25
240504_0027,unknown,unknown,0,24,0,4
240514_0056,2024,SN,7,24,0,7
240520_0062,unknown,unknown,28,59,8,35
240531_0080,2024,SN,27,79,26,29
240531_0081,2024,SN,2,46,7,2
240702_0093,2024,PS,43,122,17,43
240713_0108,2024,MS,7,55,0,9
240722_0117,unknown,unknown,1,11,3,3
240722_119,unknown,unknown,29,66,8,32
250306_0129,2025,SN,51,58,8,55
250306_0132,2025,MS,34,164,6,34
250423_0148,unknown,unknown,25,77,1,25
250423_0150,unknown,unknown,23,166,12,25
250425_0154,unknown,unknown,13,29,0,14
250427_0158,unknown,unknown,2,10,0,2
250427_0159,2025,SN,8,59,0,8
250501_0165,unknown,unknown,23,164,12,23
250504_0167,unknown,unknown,19,63,3,19
7.4.03.3,2003,T6,8,49,0,9
7.4.03.5,2003,T6,12,135,11,12
7.4.03.6,2003,T6,17,63,0,17
T5 14.4.04,2004,T5,3,3,0,3
T5 14.4.04.2,2004,T5,20,13,0,21
T5 bad,unknown,T5,14,18,0,15
Take 441,unknown,unknown,1,6,0,6
Take 467,unknown,unknown,56,322,0,31
Take04,2007-2008,Y8,9,34,0,12
Take111,2007-2008,M3,6,3,9,8
Take132_Y0_280508,2008,Y0,5,71,1,5
Take256_130612_5542,2012,Y0,39,206,4,40
Take263_260612_4469,2012,X0,6,65,0,8
Take276_040712_4469,2012,X0,17,72,3,23
Take396,unknown,unknown,42,108,0,43
Take423,unknown,unknown,3,17,0,3
