Animal,Year,Wail,Chuck,Snort,Bout
J9,2008,22,106,5,22
J9,unknown,16,134,1,16
Kashtan,2009,216,1155,76,219
Kashtan,2010,71,416,14,73
Kashtan,2011,284,1377,58,249
Kashtan,2012,241,1440,64,272
Kashtan,unknown,18,66,0,14
M0,2008,18,92,5,21
M0,2009,49,286,1,41
M9,2002,40,179,11,40
M9,2003,18,51,0,18
M9,2004,63,427,57,71
O1,2004,60,486,21,64
O7,2002,202,696,61,198
P0,2008,33,112,0,33
P0,2009,67,264,2,63
P0,2010,1,31,3,1
P1,2007,208,921,38,212
P1,2008,45,348,4,60
P8,2007,11,29,0,11
P8,2009,45,278,1,41
P8,2010,26,156,0,26
P8,2011,214,1710,71,225
P8,2012,20,159,2,20
Q7,2002,8,0,0,8
Q7,2003,587,2413,91,616
Q7,2004,18,36,0,17
R3,2002,228,1354,82,244
R3,2003,717,2503,258,757
R3,2004,46,212,19,46
T0,2010,5,10,0,5
T0,2011,15,95,0,16
T0,2012,197,992,44,222
T0,2013,41,257,0,52
T0,unknown,78,400,16,87
T1,2002,18,125,2,19
T9,2009,46,25,0,44
T9,2010,19,126,0,21
T9,2011,39,137,0,44
U7,2008,68,319,0,69
U7,2009,47,259,9,48
U7,2010,58,227,0,54
U9,2007,8,55,0,8
U9,2008,10,25,0,10
U9,2009,9,184,0,12
W4,2008,64,187,2,65
W4,2009,65,337,4,58
X0,2011,10,70,14,16
