epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,628.928,1.88282,4.77133,0.03208,0.71457,0.3511,0.3744,0.21604,1.38982,1.68091,0.03134,0.00999452,0.00333151,0.00999452,0.00333151,0.00999452,0.00333151,0.00999452,0.00333151
2,1101.74,1.25956,2.28273,0.01409,0.8125,0.42535,0.49215,0.32458,1.21892,1.37991,0.02022,0.019945,0.00664835,0.019945,0.00664835,0.019945,0.00664835,0.019945,0.00664835
3,1553.92,1.26596,1.98268,0.01375,0.71325,0.53462,0.60196,0.38538,1.28688,1.17206,0.02425,0.0298461,0.00994868,0.0298461,0.00994868,0.0298461,0.00994868,0.0298461,0.00994868
4,2002.89,1.2853,1.88308,0.01341,0.67216,0.59897,0.63548,0.40689,1.25212,1.0515,0.01692,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,2451.43,1.23421,1.78837,0.012,0.64474,0.63122,0.66861,0.44712,1.13915,1.06235,0.0165,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,2898.6,1.17556,1.72424,0.011,0.75619,0.6264,0.71112,0.49139,1.05505,0.95664,0.01331,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,3346.09,1.17358,1.66543,0.01084,0.75973,0.67556,0.74664,0.5114,1.10267,0.91657,0.01361,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,3794.41,1.15823,1.63855,0.0104,0.73004,0.68589,0.75258,0.52678,1.05694,0.90088,0.01322,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,4240.9,1.14954,1.60388,0.01011,0.81973,0.6836,0.78048,0.52849,1.14451,0.85324,0.01609,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,4688.11,1.12844,1.57685,0.00977,0.79951,0.67601,0.76795,0.54134,1.04272,0.81328,0.0126,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,5134,1.10694,1.57714,0.00926,0.7976,0.66146,0.76992,0.54501,1.05191,0.8681,0.01135,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,5582.09,1.09123,1.54934,0.00915,0.79933,0.69734,0.77818,0.54461,1.00604,0.84598,0.01206,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,6028.38,1.09596,1.51792,0.00906,0.79293,0.73447,0.80169,0.5698,1.02357,0.79789,0.01297,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,6475.33,1.08143,1.51646,0.00899,0.74872,0.74353,0.78673,0.5634,0.98523,0.81649,0.01078,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
