epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,246.885,2.10466,5.25324,0.03656,0.66165,0.32142,0.30718,0.17667,1.38771,3.59869,0.02678,0.00999209,0.0033307,0.00999209,0.0033307,0.00999209,0.0033307,0.00999209,0.0033307
2,437.324,1.35373,2.59184,0.01555,0.72879,0.4064,0.40529,0.21165,1.56607,2.06697,0.02997,0.0199426,0.00664754,0.0199426,0.00664754,0.0199426,0.00664754,0.0199426,0.00664754
3,630.196,1.38172,2.18174,0.01563,0.73309,0.36563,0.36673,0.20429,1.50373,1.75111,0.03402,0.0298436,0.00994788,0.0298436,0.00994788,0.0298436,0.00994788,0.0298436,0.00994788
4,811.54,1.37305,2.03083,0.01476,0.83169,0.42594,0.4865,0.30115,1.30718,1.41711,0.01966,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,991.158,1.30907,1.93365,0.01301,0.83225,0.43957,0.51853,0.34353,1.19027,1.29753,0.01617,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,1171.35,1.27885,1.84919,0.0122,0.83618,0.4562,0.52955,0.36334,1.12811,1.22503,0.01392,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,1350.86,1.23402,1.81163,0.01145,0.55349,0.62171,0.61735,0.40117,1.22471,1.06883,0.01696,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,1530.43,1.23745,1.75396,0.01102,0.62236,0.59984,0.60904,0.38967,1.2172,1.09488,0.01402,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,1709.66,1.21226,1.7635,0.01062,0.60149,0.64097,0.63336,0.41305,1.20909,1.03594,0.01309,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,1890.17,1.19858,1.71102,0.01053,0.61819,0.56201,0.609,0.39991,1.20787,1.03121,0.01428,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,2069.7,1.1913,1.68845,0.0102,0.74846,0.64607,0.68938,0.45505,1.17358,0.99527,0.01452,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,2250,1.17837,1.6636,0.00991,0.55916,0.60271,0.61827,0.40805,1.18977,1.04483,0.01694,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,2430.76,1.16117,1.66045,0.00977,0.65779,0.7322,0.70827,0.46673,1.13194,0.94155,0.01167,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,2612.19,1.15989,1.64803,0.00965,0.60498,0.58564,0.59966,0.40302,1.1633,1.10857,0.01682,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,2792.33,1.14711,1.61358,0.00941,0.70434,0.61881,0.69275,0.48423,1.0662,0.94977,0.01255,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,2973.3,1.14604,1.62586,0.00937,0.69293,0.65512,0.71599,0.49254,1.09902,0.9241,0.01394,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,3154.17,1.13697,1.59483,0.00923,0.8135,0.65684,0.74984,0.50335,1.14722,0.88699,0.01139,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
18,3334.17,1.13179,1.58925,0.00914,0.64864,0.69751,0.70343,0.46832,1.18334,0.9537,0.01683,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
